GM_NAAM,GM_CODE,OuderRegioCode,GrootOuderRegioCode,total_votes,VVD,Average_House_Price,Average_Income,Population_Density,Population_Increase
Eemsdelta,GM1979,K1,P20,26604,2384,180.0,22.0,169,-233
Groningen,GM0014,K1,P20,146649,15573,258.9,23.3,1266,57
Het Hogeland,GM1966,K1,P20,31424,2658,188.8,22.1,101,-188
Midden-Groningen,GM1952,K1,P20,36402,3838,206.7,22.0,219,-202
Oldambt,GM1895,K1,P20,23631,2351,175.8,21.3,170,-219
Pekela,GM0765,K1,P20,7128,432,161.3,19.7,249,-64
Stadskanaal,GM0037,K1,P20,19335,1624,185.5,20.5,271,-189
Veendam,GM0047,K1,P20,16441,1737,187.5,21.6,362,-41
Westerkwartier,GM1969,K1,P20,42079,4100,240.8,23.2,177,13
Westerwolde,GM1950,K1,P20,15934,1395,210.2,21.7,96,-132
Achtkarspelen,GM0059,K2,P21,17857,1225,216.5,19.9,273,21
Ameland,GM0060,K2,P21,3279,530,321.2,22.5,66,0
Dantumadiel,GM1891,K2,P21,12392,807,234.2,20.0,224,-21
De Fryske Marren,GM1940,K2,P21,34337,4641,268.8,23.3,147,-135
Harlingen,GM0072,K2,P21,10125,1360,216.4,21.7,637,-118
Heerenveen,GM0074,K2,P21,32637,4571,257.8,23.8,269,-138
Leeuwarden,GM0080,K2,P21,76929,8662,215.9,22.5,528,-9
Noardeast-Frysl̢n,GM1970,K2,P21,29122,2311,194.8,20.4,120,-84
Ooststellingwerf,GM0085,K2,P21,16951,1763,238.2,22.0,115,-153
Opsterland,GM0086,K2,P21,19765,2084,254.9,22.8,133,-23
S̼dwest-Frysl̢n,GM1900,K2,P21,57790,7223,225.7,22.6,173,-205
Schiermonnikoog,GM0088,K2,P21,933,144,350.8,25.3,22,-2
Smallingerland,GM0090,K2,P21,34417,3510,233.5,22.2,477,-88
Terschelling,GM0093,K2,P21,3848,663,327.5,24.7,57,-28
Tytsjerksteradiel,GM0737,K2,P21,21440,2028,235.6,22.6,217,-115
Vlieland,GM0096,K2,P21,967,162,404.1,27.3,29,-3
Waadhoeke,GM1949,K2,P21,29616,3321,209.1,21.9,162,-80
Weststellingwerf,GM0098,K2,P21,17194,2093,233.4,21.7,119,-116
Aa en Hunze,GM1680,K3,P22,17864,2898,284.8,26.0,93,-126
Assen,GM0106,K3,P22,42482,5298,228.7,23.8,842,-139
Borger-Odoorn,GM1681,K3,P22,17370,2196,233.7,23.4,93,-143
Coevorden,GM0109,K3,P22,23524,3164,236.0,23.6,120,-172
De Wolden,GM1690,K3,P22,17257,2634,290.8,24.8,109,-137
Emmen,GM0114,K3,P22,66974,6671,205.7,21.8,322,-481
Hoogeveen,GM0118,K3,P22,34468,3284,209.7,21.3,438,-191
Meppel,GM0119,K3,P22,22557,3125,255.7,24.0,626,-64
Midden-Drenthe,GM1731,K3,P22,23384,2769,261.2,24.1,99,-142
Noordenveld,GM1699,K3,P22,21663,2981,292.8,25.1,157,-93
Tynaarlo,GM1730,K3,P22,23045,3740,309.8,27.8,240,-171
Westerveld,GM1701,K3,P22,14305,2001,279.5,25.3,71,-135
Almelo,GM0141,K4,P23,40826,4483,210.0,21.5,1089,-75
Borne,GM0147,K4,P23,16283,2157,270.5,25.0,924,1
Dalfsen,GM0148,K4,P23,20344,2522,303.7,24.5,177,-5
Deventer,GM0150,K4,P23,62630,7481,264.2,23.9,777,1
Dinkelland,GM1774,K4,P23,18860,2407,279.2,24.3,151,-45
Enschede,GM0153,K4,P23,88381,7816,236.6,21.4,1141,-387
Haaksbergen,GM0158,K4,P23,16620,2011,271.8,24.1,232,-107
Hardenberg,GM0160,K4,P23,41499,4041,248.4,21.9,198,66
Hellendoorn,GM0163,K4,P23,24620,2791,270.8,23.2,261,-78
Hengelo (O),GM0164,K4,P23,50052,5427,233.4,23.7,1339,-147
Hof van Twente,GM1735,K4,P23,24355,3480,274.7,24.9,165,-112
Kampen,GM0166,K4,P23,35412,3166,250.2,21.8,388,180
Losser,GM0168,K4,P23,15293,1701,247.5,23.1,234,-24
Oldenzaal,GM0173,K4,P23,20990,2822,274.5,24.1,1473,-98
Olst-Wijhe,GM1773,K4,P23,12666,1553,307.8,24.2,163,-31
Ommen,GM0175,K4,P23,12722,1449,277.2,23.7,103,-35
Raalte,GM0177,K4,P23,25886,3978,285.8,23.8,223,-38
Rijssen-Holten,GM1742,K4,P23,25661,2085,287.3,22.1,406,66
Staphorst,GM0180,K4,P23,11523,655,265.3,20.7,129,128
Steenwijkerland,GM1708,K4,P23,29575,3837,250.4,22.7,155,-85
Tubbergen,GM0183,K4,P23,15120,1661,317.5,23.6,145,-27
Twenterand,GM1700,K4,P23,21982,1567,249.0,20.9,318,-23
Wierden,GM0189,K4,P23,17103,2293,311.0,24.4,260,-8
Zwartewaterland,GM1896,K4,P23,15003,1145,241.2,22.5,279,127
Zwolle,GM0193,K4,P23,82382,10524,293.1,24.9,1181,338
Almere,GM0034,K5,P24,104685,16578,294.3,24.7,1686,1365
Dronten,GM0303,K5,P24,26430,4392,255.6,24.0,128,57
Lelystad,GM0995,K5,P24,40779,6182,242.9,23.1,355,201
Noordoostpolder,GM0171,K5,P24,28593,3736,226.7,22.5,105,159
Urk,GM0184,K5,P24,12746,109,243.1,19.8,1634,300
Zeewolde,GM0050,K5,P24,14376,2542,275.7,25.7,94,140
Berg en Dal,GM1945,K6,P25,23495,3449,292.8,25.4,405,-187
Beuningen,GM0209,K6,P25,17131,3408,299.3,26.5,602,7
Buren,GM0214,K6,P25,18057,3239,324.9,26.7,203,-5
Culemborg,GM0216,K6,P25,18375,2723,299.6,26.1,1004,21
Druten,GM0225,K6,P25,12443,2259,285.1,24.9,511,-13
Heumen,GM0252,K6,P25,11351,2027,362.6,29.1,432,-28
Maasdriel,GM0263,K6,P25,16104,3044,318.2,25.6,387,-27
Neder-Betuwe,GM1740,K6,P25,15505,1431,309.0,22.3,417,149
Nijmegen,GM0268,K6,P25,112362,10982,293.8,24.2,3391,129
Tiel,GM0281,K6,P25,23288,3743,260.8,23.6,1289,-18
West Betuwe,GM1960,K6,P25,34406,5681,341.3,26.5,241,44
West Maas en Waal,GM0668,K6,P25,13461,2586,308.4,25.2,258,-12
Wijchen,GM0296,K6,P25,27182,5132,283.7,25.4,626,-55
Zaltbommel,GM0297,K6,P25,18404,2568,302.7,24.9,381,102
